date,ticker,signal,weight,strategy
2026-09-15,EEM,LONG,0.081527,GARCH Vol
2026-09-15,EFA,LONG,0.081527,GARCH Vol
2026-09-15,GLD,FLAT,-0.001196,GARCH Vol
2026-09-15,IWM,LONG,0.081527,GARCH Vol
2026-09-15,QQQ,LONG,0.069254,GARCH Vol
2026-09-15,SLV,FLAT,-0.003104,GARCH Vol
2026-09-15,SPY,LONG,0.081527,GARCH Vol
2026-09-15,TLT,SHORT,-0.012303,GARCH Vol
2026-09-15,USO,LONG,0.081527,GARCH Vol
2026-09-15,XLB,LONG,0.081527,GARCH Vol
2026-09-15,XLE,LONG,0.014482,GARCH Vol
2026-09-15,XLF,LONG,0.081527,GARCH Vol
2026-09-15,XLI,FLAT,-0.001572,GARCH Vol
2026-09-15,XLK,FLAT,-0.001289,GARCH Vol
2026-09-15,XLP,LONG,0.081527,GARCH Vol
2026-09-15,XLU,LONG,0.081527,GARCH Vol
2026-09-15,XLV,LONG,0.081527,GARCH Vol
2026-09-15,XLY,LONG,0.081527,GARCH Vol
2026-09-15,EEM,LONG,0.01525,Entropy Regularized
2026-09-15,EFA,LONG,0.02206,Entropy Regularized
2026-09-15,GLD,LONG,0.2,Entropy Regularized
2026-09-15,IWM,LONG,0.012842,Entropy Regularized
2026-09-15,QQQ,LONG,0.018213,Entropy Regularized
2026-09-15,SLV,LONG,0.083263,Entropy Regularized
2026-09-15,SPY,LONG,0.021367,Entropy Regularized
2026-09-15,TLT,LONG,0.011102,Entropy Regularized
2026-09-15,USO,LONG,0.135325,Entropy Regularized
2026-09-15,XLB,LONG,0.01151,Entropy Regularized
2026-09-15,XLE,LONG,0.2,Entropy Regularized
2026-09-15,XLF,LONG,0.018645,Entropy Regularized
2026-09-15,XLI,LONG,0.031544,Entropy Regularized
2026-09-15,XLK,LONG,0.0318,Entropy Regularized
2026-09-15,XLP,LONG,0.013956,Entropy Regularized
2026-09-15,XLU,LONG,0.031704,Entropy Regularized
2026-09-15,XLV,LONG,0.020715,Entropy Regularized
2026-09-15,XLY,LONG,0.01115,Entropy Regularized
2026-09-15,EEM,LONG,0.03165,InvVol Ensemble
2026-09-15,EFA,LONG,0.060416,InvVol Ensemble
2026-09-15,GLD,LONG,0.068143,InvVol Ensemble
2026-09-15,IWM,LONG,0.068223,InvVol Ensemble
2026-09-15,QQQ,LONG,0.023428,InvVol Ensemble
2026-09-15,SLV,LONG,0.013266,InvVol Ensemble
2026-09-15,SPY,LONG,0.068223,InvVol Ensemble
2026-09-15,TLT,SHORT,-0.048864,InvVol Ensemble
2026-09-15,USO,LONG,0.068223,InvVol Ensemble
2026-09-15,XLB,LONG,0.068223,InvVol Ensemble
2026-09-15,XLE,LONG,0.068223,InvVol Ensemble
2026-09-15,XLF,LONG,0.068223,InvVol Ensemble
2026-09-15,XLI,LONG,0.034151,InvVol Ensemble
2026-09-15,XLK,LONG,0.037849,InvVol Ensemble
2026-09-15,XLP,LONG,0.068223,InvVol Ensemble
2026-09-15,XLU,LONG,0.068223,InvVol Ensemble
2026-09-15,XLV,LONG,0.068223,InvVol Ensemble
2026-09-15,XLY,LONG,0.068223,InvVol Ensemble
